รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
60103190,ศพด.ไผ่ล้อม,,,,นครสวรรค์ออก,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103191,ศพด.ค่ายจิระประวัติ,,,,นครสวรรค์ออก,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103192,ศพด.วัดบ้านแก่ง,,,,บ้านแก่ง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103193,ศพด.วัดเกาะแก้ว,,,,บ้านแก่ง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103194,ศพด.บ้านบึงน้ำใส,,,,บ้านแก่ง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103195,ศพด.วัดท่าพระเจริญพรต,,,,ยบ้านมะเกลือ,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103196,ศพด.บ้านมะเกลือ,,,,ยบ้านมะเกลือ,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103197,ศพด.บึงเสนาท,,,,ยบ้านมะเกลือ,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103198,ศพด.บ้านดงยาง,,,,บึงเสนาท,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103199,ศพด.บ้านศรีอุทุมพร,,,,บึงเสนาท,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103200,ศพด.บ้านบ่อพยอม,,,,หนองกรด,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103201,ศพด.บ้านดงสำราญ,,,,หนองกรด,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103202,ศพด.หนองกรด,,,,หนองกรด,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103203,ศพด.บ้านหนองแขนง,,,,หนองกรด,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103204,ศพด.หนองปลิง,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103205,ศพด.เทศบาลนครสวรรค์,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103206,ศพด.รร.เทศบาลวัดไทรเหนือ,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103207,ศพด.เทศบาลวัดพรหมจริยาวาส,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103208,ศพด.เทศบาลวัดช่องคีรีสิทธิวราราม,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103209,ศพด.วัดพรหมจริยวาส,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103210,ศพด.เทศบาลวัดไทรใต้,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103211,ศพด.เทศบาลวัดปากน้ำโพใต้,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103212,ศพด.เทสบาลวัดจอมคีรีนาคพรต,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103213,ศพด.รเทศบาลวัดวรนาถบรรพต,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103214,ศพด.ชุมชนพระบางมงคล,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103215,ศพด.ชุมชนชอนตะวัน,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103216,ศพด.เทศบาลวัดสุคตวราราม,,,,นครสวรรค์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103217,ศพด.วัดตะเคียนเลื่อน,,,,ตะเคียนเลื่อน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103218,ศพด.วัดเกาะหงษ์,,,,ตะเคียนเลื่อน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103219,ศพด.วัดวังยาง,,,,ตะเคียนเลื่อน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103220,ศพด.บ้านไร่,,,,พระนอน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103221,ศพด.บ้านปากดง,,,,พระนอน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103222,ศพด.บ้านพระนอน,,,,พระนอน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103223,ศพด.วัดยางงาม(ประชาพัฒนา),,,,บางม่วง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103224,ศพด.บ้านคุ้งวารี,,,,บางม่วง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103225,ศพด.วัดไทรย์ หมู่ที่ 2,,,,วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103226,ศพด.วัดไทรย์ หมู่ที่ 14,,,,วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103227,ศพด.บ้านวังสวัสดี,,,,หนองกระโดน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103228,ศพด.หนองกระโดน,,,,หนองกระโดน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103229,ศพด.หนองกระโดน(บ้านหนองแก),,,,หนองกระโดน,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103230,ศพด.กลางแดด,,,,กลางแดด,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103231,ศพด.วัดท่าดินแดง,,,,หลวงพระบาง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103232,ศพด.วัดท่าล้อ,,,,หลวงพระบาง,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103233,ศพด.บ้านเกรียงไกร,,,,เกรียงไกร,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103234,ศพด.บ้านท่าทอง,,,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103235,ศพด.สันคู,,,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103236,ศพด.หนองเบน,,,,หนองเบน,แม่วงศ์,นครสวรรค์,,,,,
60103237,ศพด.เขาชนกัน,,,,เขาชนกัน,แม่วงศ์,นครสวรรค์,,,,,
60103238,ศพด.วัดวังน้ำขาว,,,,เขาชนกัน,แม่วงศ์,นครสวรรค์,,,,,
60103239,ศพด.แม่เล่ย์,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
