รหัสเขตพื้นที่การศึกษา,ชื่อเขตพื้นที่การศึกษา,รหัสโรงเรียน (smis),percode รหัส 6 หลัก,รหัสกระทรวง (10 หลัก),ชื่อโรงเรียน,ลำดับ,แปลงที่,ตารางวา,งาน,ไร่,กรรมสิทธิ์การถือครอง
60030000,สพป.นครสวรรค์ เขต 3,60030134,220298,1060220298,วัดพนมเศษ,1,1,0.0,0,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030135,220300,1060220300,ชุมชนบ้านหัวพลวง(รัฐพรมมณีอุทิศ),1,1,30.0,0,10,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030136,220301,1060220301,วัดวังมหากร,1,1,56.0,3,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030137,220302,1060220302,บ้านปากง่าม,1,1,70.0,3,3,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030138,220303,1060220303,วัดช่องแกระ,1,1,0.0,0,5,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030140,220305,1060220305,วัดท่าสุ่ม,1,-,60.0,3,12,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030142,220293,1060220293,บ้านตะเฆ่ค่าย,1,1,0.0,1,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030143,220294,1060220294,บ้านสระละมาน(รัฐประชาสามัคคี),1,-,20.0,2,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030144,220295,1060220295,บ้านดงจันทำ,1,801,0.0,0,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030145,220308,1060220308,วัดสายลำโพงเหนือ,1,1,94.0,3,22,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030146,220309,1060220309,วัดสายลำโพงกลาง,1,1,22.0,3,7,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030147,220310,1060220310,วัดสายลำโพงใต้,1,1,70.0,0,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030147,220310,1060220310,วัดสายลำโพงใต้,2,2,0.0,0,3,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030148,220311,1060220311,บ้านหนองปล้องโพช,1,1,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030150,220278,1060220278,วัดหนองเบน,1,1,100.0,0,12,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030151,220271,1060220271,บ้านหนองสะเอ้ง,1,1,22.0,2,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030152,220313,1060220313,บ้านชะลอมแหน,1,1,40.0,1,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030153,220314,1060220314,บ้านเนินประดู่(คุรุราษฎร์วิทยา),1,1,52.0,3,9,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030155,220280,1060220280,บ้านเขาดิน(ประชานุกูล),1,1,0.0,2,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030156,220281,1060220281,บ้านลาด(ราษฎร์บำรุง),1,1,0.0,1,10,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030159,220279,1060220279,บ้านหนองหลวง,1,1,0.0,1,27,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030160,220291,1060220291,บ้านหนองสองห้อง,1,1,58.0,1,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030161,220287,1060220287,ชุมชนวัดหัวถนนใต้(นิยุตประชาสรรค์),1,อยู่ติดวัดหัวถนนใต้,0.0,0,7,ที่ธรณีสงฆ์
